"No.","Time","Source","Destination","Protocol","Length","Info"
"60","15.085552","192.168.43.144","35.186.224.47","TLSv1.2","97","Application Data"
"61","15.232831","35.186.224.47","192.168.43.144","TCP","54","443  >  54217 [ACK] Seq=1 Ack=44 Win=269 Len=0"
"62","15.249787","35.186.224.47","192.168.43.144","TLSv1.2","94","Application Data"
"63","15.303714","192.168.43.144","35.186.224.47","TCP","54","54217  >  443 [ACK] Seq=44 Ack=41 Win=512 Len=0"
"64","16.069921","192.168.43.144","23.96.225.71","TLSv1.2","254","Application Data"
"65","16.234048","192.168.43.144","192.168.43.255","UDP","86","57621  >  57621 Len=44"
"66","16.248114","23.96.225.71","192.168.43.144","TLSv1.2","108","Application Data"
"67","16.249120","192.168.43.144","23.96.225.71","TCP","1394","55184  >  443 [ACK] Seq=201 Ack=55 Win=509 Len=1340 [TCP segment of a reassembled PDU]"
"68","16.249120","192.168.43.144","23.96.225.71","TLSv1.2","678","Application Data"
"69","16.478935","23.96.225.71","192.168.43.144","TCP","54","443  >  55184 [ACK] Seq=55 Ack=2165 Win=2051 Len=0"
"70","16.563933","23.96.225.71","192.168.43.144","TLSv1.2","349","Application Data"
"71","16.619788","192.168.43.144","23.96.225.71","TCP","54","55184  >  443 [ACK] Seq=2165 Ack=350 Win=508 Len=0"
"72","16.624165","192.168.43.144","149.154.167.92","TCP","280","54713  >  80 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=226 [TCP segment of a reassembled PDU]"
"73","16.696851","149.154.167.92","192.168.43.144","TCP","54","80  >  54713 [ACK] Seq=1 Ack=227 Win=7689 Len=0"
"74","16.696971","192.168.43.144","149.154.167.92","HTTP","142","POST /api HTTP/1.1  (application/x-www-form-urlencoded)"
"75","16.758310","149.154.167.92","192.168.43.144","TCP","54","80  >  54713 [ACK] Seq=1 Ack=315 Win=7689 Len=0"
"76","19.440379","de:c2:ae:09:2c:16","IntelCor_61:e0:68","ARP","42","Who has 192.168.43.144? Tell 192.168.43.1"
"77","19.440413","IntelCor_61:e0:68","de:c2:ae:09:2c:16","ARP","42","192.168.43.144 is at 7c:21:4a:61:e0:68"
"78","24.071227","149.154.167.92","192.168.43.144","HTTP","305","HTTP/1.1 200 OK "
"79","24.082392","149.154.167.92","192.168.43.144","HTTP","305","HTTP/1.1 200 OK "
"80","24.083113","192.168.43.144","149.154.167.92","TCP","281","54693  >  80 [PSH, ACK] Seq=1554 Ack=1037 Win=510 Len=227 [TCP segment of a reassembled PDU]"
"81","24.131803","192.168.43.144","149.154.167.92","TCP","54","54713  >  80 [ACK] Seq=315 Ack=252 Win=509 Len=0"
"82","24.152008","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=1037 Ack=1781 Win=30914 Len=0"
"83","24.152139","192.168.43.144","149.154.167.92","HTTP","366","POST /api HTTP/1.1  (application/x-www-form-urlencoded)"
"84","24.227963","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=1037 Ack=2093 Win=30992 Len=0"
"85","24.260631","149.154.167.92","192.168.43.144","HTTP","288","HTTP/1.1 200 OK "
"86","24.261488","192.168.43.144","149.154.167.92","TCP","281","54693  >  80 [PSH, ACK] Seq=2093 Ack=1271 Win=509 Len=227 [TCP segment of a reassembled PDU]"
"87","24.321660","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=1271 Ack=2320 Win=30992 Len=0"
"88","24.321786","192.168.43.144","149.154.167.92","HTTP","270","POST /api HTTP/1.1  (application/x-www-form-urlencoded)"
"89","24.391023","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=1271 Ack=2536 Win=30992 Len=0"
"90","25.415780","192.168.43.144","35.186.224.47","TLSv1.2","89","Application Data"
"91","25.483616","35.186.224.47","192.168.43.144","TCP","54","443  >  54201 [ACK] Seq=1 Ack=36 Win=267 Len=0"
"92","25.499153","35.186.224.47","192.168.43.144","TLSv1.2","85","Application Data"
"93","25.540674","192.168.43.144","35.186.224.47","TCP","54","54201  >  443 [ACK] Seq=36 Ack=32 Win=33 Len=0"
"94","27.312620","149.154.167.92","192.168.43.144","HTTP","305","HTTP/1.1 200 OK "
"95","27.317868","192.168.43.144","149.154.167.92","TCP","281","54693  >  80 [PSH, ACK] Seq=2536 Ack=1522 Win=513 Len=227 [TCP segment of a reassembled PDU]"
"96","27.391623","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=1522 Ack=2763 Win=30992 Len=0"
"97","27.391756","192.168.43.144","149.154.167.92","HTTP","414","POST /api HTTP/1.1  (application/x-www-form-urlencoded)"
"98","27.461675","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=1522 Ack=3123 Win=31069 Len=0"
"99","31.593642","192.168.43.144","108.139.210.106","TCP","55","55182  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]"
"100","31.649274","108.139.210.106","192.168.43.144","TCP","66","443  >  55182 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2"
"101","31.649274","149.154.167.92","192.168.43.144","HTTP","305","HTTP/1.1 200 OK "
"102","31.655229","192.168.43.144","149.154.167.92","TCP","281","54693  >  80 [PSH, ACK] Seq=3123 Ack=1773 Win=512 Len=227 [TCP segment of a reassembled PDU]"
"103","31.742301","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=1773 Ack=3350 Win=31069 Len=0"
"104","31.742463","192.168.43.144","149.154.167.92","HTTP","254","POST /api HTTP/1.1  (application/x-www-form-urlencoded)"
"105","31.830116","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=1773 Ack=3550 Win=31147 Len=0"
"106","32.411145","149.154.167.92","192.168.43.144","HTTP","305","HTTP/1.1 200 OK "
"107","32.417453","192.168.43.144","149.154.167.92","TCP","281","54693  >  80 [PSH, ACK] Seq=3550 Ack=2024 Win=511 Len=227 [TCP segment of a reassembled PDU]"
"108","32.502813","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=2024 Ack=3777 Win=31147 Len=0"
"109","32.502954","192.168.43.144","149.154.167.92","HTTP","270","POST /api HTTP/1.1  (application/x-www-form-urlencoded)"
"110","32.587231","149.154.167.92","192.168.43.144","TCP","54","80  >  54693 [ACK] Seq=2024 Ack=3993 Win=31147 Len=0"
"111","36.640632","de:c2:ae:09:2c:16","IntelCor_61:e0:68","ARP","42","Who has 192.168.43.144? Tell 192.168.43.1"
"112","36.640649","IntelCor_61:e0:68","de:c2:ae:09:2c:16","ARP","42","192.168.43.144 is at 7c:21:4a:61:e0:68"
