"No.","Time","Source","Destination","Protocol","Length","Info"
"35","3.706686","80.67.66.123","192.168.1.51","TCP","60","443  >  53879 [ACK] Seq=606 Ack=2193 Win=64128 Len=0"
"36","3.710535","80.67.66.123","192.168.1.51","TCP","60","443  >  53879 [ACK] Seq=606 Ack=2224 Win=64128 Len=0"
"37","5.179305","192.168.1.51","35.186.224.47","TLSv1.2","89","Application Data"
"38","5.200316","35.186.224.47","192.168.1.51","TCP","60","443  >  53361 [ACK] Seq=1 Ack=36 Win=267 Len=0"
"39","5.210400","35.186.224.47","192.168.1.51","TLSv1.2","85","Application Data"
"40","5.257048","192.168.1.51","35.186.224.47","TCP","54","53361  >  443 [ACK] Seq=36 Ack=32 Win=511 Len=0"
"41","5.450275","SernetSu_9a:26:d0","IntelCor_61:e0:68","ARP","60","Who has 192.168.1.51? Tell 192.168.1.254"
"42","5.450293","IntelCor_61:e0:68","SernetSu_9a:26:d0","ARP","42","192.168.1.51 is at 7c:21:4a:61:e0:68"
"43","5.738167","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","2600:1901:1:de8::","TLSv1.2","117","Application Data"
"44","5.759848","2600:1901:1:de8::","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","TCP","74","443  >  53358 [ACK] Seq=1 Ack=44 Win=269 Len=0"
"45","5.769808","2600:1901:1:de8::","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","TLSv1.2","114","Application Data"
"46","5.815196","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","2600:1901:1:de8::","TCP","74","53358  >  443 [ACK] Seq=44 Ack=41 Win=514 Len=0"
"47","6.067036","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [ACK] Seq=606 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"48","6.067036","80.67.66.123","192.168.1.51","TLSv1.3","1499","Application Data"
"49","6.067036","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [ACK] Seq=3511 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"50","6.067036","80.67.66.123","192.168.1.51","TLSv1.3","1499","Application Data"
"51","6.067036","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [ACK] Seq=6416 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"52","6.067036","80.67.66.123","192.168.1.51","TLSv1.3","1514","Application Data"
"53","6.067036","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [ACK] Seq=9336 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"54","6.067036","80.67.66.123","192.168.1.51","TLSv1.3","1484","Application Data"
"55","6.067036","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [ACK] Seq=12226 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"56","6.067036","80.67.66.123","192.168.1.51","TLSv1.3","1499","Application Data"
"57","6.067036","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [ACK] Seq=15131 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"58","6.067036","80.67.66.123","192.168.1.51","TLSv1.3","1499","Application Data"
"59","6.067036","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [ACK] Seq=18036 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"60","6.067036","80.67.66.123","192.168.1.51","TLSv1.3","1514","Application Data"
"61","6.067036","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [ACK] Seq=20956 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"62","6.067036","80.67.66.123","192.168.1.51","TLSv1.3","1514","Application Data"
"63","6.067036","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [ACK] Seq=23876 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"64","6.067385","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=2066 Win=262144 Len=0"
"65","6.067506","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=3511 Win=260608 Len=0"
"66","6.067539","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=4971 Win=262144 Len=0"
"67","6.067561","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=6416 Win=260608 Len=0"
"68","6.067586","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=7876 Win=262144 Len=0"
"69","6.067612","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=9336 Win=262144 Len=0"
"70","6.067633","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=10796 Win=262144 Len=0"
"71","6.067661","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=12226 Win=260608 Len=0"
"72","6.067699","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=13686 Win=262144 Len=0"
"73","6.067728","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=15131 Win=260608 Len=0"
"74","6.067749","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=16591 Win=262144 Len=0"
"75","6.067775","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=18036 Win=260608 Len=0"
"76","6.067803","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=19496 Win=262144 Len=0"
"77","6.067825","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=20956 Win=262144 Len=0"
"78","6.067847","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=22416 Win=262144 Len=0"
"79","6.067936","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=23876 Win=262144 Len=0"
"80","6.067962","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=25336 Win=262144 Len=0"
"81","6.084775","80.67.66.123","192.168.1.51","TLSv1.3","1514","Application Data"
"82","6.084775","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [PSH, ACK] Seq=26796 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"83","6.084775","80.67.66.123","192.168.1.51","TLSv1.3","1514","Application Data"
"84","6.084775","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [PSH, ACK] Seq=29716 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"85","6.084904","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=26796 Win=262144 Len=0"
"86","6.084947","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=28256 Win=262144 Len=0"
"87","6.084962","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=29716 Win=262144 Len=0"
"88","6.084981","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=31176 Win=262144 Len=0"
"89","6.087186","80.67.66.123","192.168.1.51","TLSv1.3","1299","Application Data, Application Data"
"90","6.087186","80.67.66.123","192.168.1.51","TCP","1514","443  >  53879 [ACK] Seq=32421 Ack=2224 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"91","6.087186","80.67.66.123","192.168.1.51","TLSv1.3","658","Application Data"
"92","6.087233","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=32421 Win=260864 Len=0"
"93","6.087270","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=33881 Win=262144 Len=0"
"94","6.087285","192.168.1.51","80.67.66.123","TCP","54","53879  >  443 [ACK] Seq=2224 Ack=34485 Win=261376 Len=0"
"95","7.563934","192.168.1.51","104.208.16.90","TLSv1.2","254","Application Data"
"96","7.864486","192.168.1.51","104.208.16.90","TCP","254","[TCP Retransmission] 53574  >  443 [PSH, ACK] Seq=1 Ack=1 Win=517 Len=200"
"97","7.941607","192.168.1.51","104.208.16.90","TCP","1494","53574  >  443 [ACK] Seq=201 Ack=1 Win=517 Len=1440 [TCP segment of a reassembled PDU]"
"98","7.941607","192.168.1.51","104.208.16.90","TCP","1494","53574  >  443 [ACK] Seq=1641 Ack=1 Win=517 Len=1440 [TCP segment of a reassembled PDU]"
"99","7.941607","192.168.1.51","104.208.16.90","TLSv1.2","1335","Application Data"
"100","8.002819","104.208.16.90","192.168.1.51","TLSv1.2","108","Application Data"
"101","8.002819","104.208.16.90","192.168.1.51","TCP","66","[TCP Dup ACK 100#1] 443  >  53574 [ACK] Seq=55 Ack=201 Win=2052 Len=0 SLE=1 SRE=201"
"102","8.017261","104.208.16.90","192.168.1.51","TCP","108","[TCP Retransmission] 443  >  53574 [PSH, ACK] Seq=1 Ack=201 Win=2052 Len=54"
"103","8.017328","192.168.1.51","104.208.16.90","TCP","66","53574  >  443 [ACK] Seq=4362 Ack=55 Win=517 Len=0 SLE=1 SRE=55"
"104","8.080387","104.208.16.90","192.168.1.51","TCP","60","443  >  53574 [ACK] Seq=55 Ack=1641 Win=2053 Len=0"
"105","8.080387","104.208.16.90","192.168.1.51","TCP","60","443  >  53574 [ACK] Seq=55 Ack=4362 Win=2053 Len=0"
"106","9.063010","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","2600:1901:1:c36::","TCP","75","53777  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"107","9.081746","2600:1901:1:c36::","2001:b07:6478:9e32:7d32:93df:1b6c:40c5","TCP","86","443  >  53777 [ACK] Seq=1 Ack=2 Win=285 Len=0 SLE=1 SRE=2"
"108","9.226523","104.208.16.90","192.168.1.51","TLSv1.2","473","Application Data"
"109","9.279358","192.168.1.51","104.208.16.90","TCP","54","53574  >  443 [ACK] Seq=4362 Ack=474 Win=515 Len=0"
"110","9.996678","149.154.167.92","192.168.1.51","SSL","159","Continuation Data"
"111","9.999653","192.168.1.51","149.154.167.92","SSL","207","Continuation Data"
"112","10.028583","149.154.167.92","192.168.1.51","TCP","60","443  >  56673 [ACK] Seq=106 Ack=154 Win=15247 Len=0"
